Symbol,Symbol,Strike,Last,Theor.,IV,Delta,Gamma,Theta,Vega,Rho,Volume,"Open Int",Vol/OI,Type,DTE,"Exp Date",Time,"Avg IV","30D His Vol"
GME|20220401|20.00C,GME,20.00,126.75,133.70,962.81%,0.98565,0.00018,-0.52763,0.00767,0.00000,1,0,0.00,Call,7,04/01/22,03/25/22,142.32%,124.38%
GME|20220401|25.00C,GME,25.00,0.00,130.00,980.15%,0.97770,0.00026,-0.78237,0.01118,0.00000,0,0,0.00,Call,7,04/01/22,N/A,142.32%,124.38%
GME|20220401|30.00C,GME,30.00,0.00,123.65,758.68%,0.98075,0.00029,-0.53456,0.00986,0.00000,0,0,0.00,Call,7,04/01/22,N/A,142.32%,124.38%
GME|20220401|35.00C,GME,35.00,0.00,118.65,687.32%,0.97823,0.00036,-0.53752,0.01095,0.00000,0,0,0.00,Call,7,04/01/22,N/A,142.32%,124.38%
GME|20220401|40.00C,GME,40.00,0.00,113.65,626.82%,0.97568,0.00043,-0.53824,0.01202,0.00000,0,0,0.00,Call,7,04/01/22,N/A,142.32%,124.38%
GME|20220401|45.00C,GME,45.00,0.00,108.30,546.07%,0.97656,0.00048,-0.45457,0.01165,0.00000,0,0,0.00,Call,7,04/01/22,N/A,142.32%,124.38%
GME|20220401|50.00C,GME,50.00,88.46,103.20,493.81%,0.97543,0.00055,-0.42761,0.01212,0.00000,3,1,3.00,Call,7,04/01/22,03/25/22,142.32%,124.38%
GME|20220401|55.00C,GME,55.00,40.89,98.65,486.47%,0.96751,0.00071,-0.53155,0.01530,0.00000,0,1,0.00,Call,7,04/01/22,03/18/22,142.32%,124.38%
GME|20220401|60.00C,GME,60.00,41.84,93.65,448.84%,0.96452,0.00083,-0.52717,0.01644,0.00000,0,9,0.00,Call,7,04/01/22,03/22/22,142.32%,124.38%
GME|20220401|64.00C,GME,64.00,42.53,89.65,421.06%,0.96201,0.00093,-0.52303,0.01739,0.00000,0,2,0.00,Call,7,04/01/22,03/22/22,142.32%,124.38%
GME|20220401|65.00C,GME,65.00,53.68,88.65,414.40%,0.96136,0.00096,-0.52192,0.01763,0.00000,0,2,0.00,Call,7,04/01/22,03/22/22,142.32%,124.38%
GME|20220401|66.00C,GME,66.00,57.14,87.45,396.31%,0.96358,0.00096,-0.47556,0.01680,0.00000,0,2,0.00,Call,7,04/01/22,03/22/22,142.32%,124.38%
GME|20220401|67.00C,GME,67.00,57.87,86.70,404.14%,0.95934,0.00103,-0.53057,0.01838,0.00000,0,2,0.00,Call,7,04/01/22,03/22/22,142.32%,124.38%
GME|20220401|68.00C,GME,68.00,0.00,85.25,371.82%,0.96555,0.00098,-0.42635,0.01605,0.00000,0,0,0.00,Call,7,04/01/22,N/A,142.32%,124.38%
GME|20220401|69.00C,GME,69.00,0.00,84.70,391.45%,0.95795,0.00109,-0.52805,0.01889,0.00000,0,0,0.00,Call,7,04/01/22,N/A,142.32%,124.38%
GME|20220401|70.00C,GME,70.00,59.55,83.70,385.25%,0.95725,0.00112,-0.52675,0.01914,0.00000,0,3,0.00,Call,7,04/01/22,03/23/22,142.32%,124.38%
GME|20220401|71.00C,GME,71.00,0.00,82.70,379.14%,0.95653,0.00116,-0.52541,0.01940,0.00000,0,0,0.00,Call,7,04/01/22,N/A,142.32%,124.38%
GME|20220401|72.00C,GME,72.00,0.00,81.45,359.93%,0.95974,0.00114,-0.46868,0.01823,0.00000,0,0,0.00,Call,7,04/01/22,N/A,142.32%,124.38%
GME|20220401|73.00C,GME,73.00,0.00,80.70,367.18%,0.95506,0.00123,-0.52263,0.01993,0.00000,0,0,0.00,Call,7,04/01/22,N/A,142.32%,124.38%
GME|20220401|74.00C,GME,74.00,22.90,79.70,361.32%,0.95431,0.00126,-0.52119,0.02019,0.00000,0,2,0.00,Call,7,04/01/22,03/21/22,142.32%,124.38%
GME|20220401|75.00C,GME,75.00,54.55,78.70,355.55%,0.95355,0.00130,-0.51972,0.02047,0.00000,0,1,0.00,Call,7,04/01/22,03/23/22,142.32%,124.38%
GME|20220401|76.00C,GME,76.00,67.62,77.70,349.85%,0.95277,0.00134,-0.51822,0.02074,0.00000,0,1,0.00,Call,7,04/01/22,03/23/22,142.32%,124.38%
GME|20220401|77.00C,GME,77.00,66.62,76.25,321.25%,0.95998,0.00128,-0.41636,0.01815,0.00000,0,5,0.00,Call,7,04/01/22,03/23/22,142.32%,124.38%
GME|20220401|78.00C,GME,78.00,28.14,74.95,298.59%,0.96558,0.00121,-0.34210,0.01604,0.00000,0,13,0.00,Call,7,04/01/22,03/22/22,142.32%,124.38%
GME|20220401|79.00C,GME,79.00,37.05,73.85,287.31%,0.96733,0.00121,-0.31536,0.01537,0.00000,0,9,0.00,Call,7,04/01/22,03/22/22,142.32%,124.38%
GME|20220401|80.00C,GME,80.00,55.75,73.00,291.74%,0.96327,0.00131,-0.35258,0.01692,0.00000,0,42,0.00,Call,7,04/01/22,03/24/22,142.32%,124.38%
GME|20220401|81.00C,GME,81.00,43.45,71.95,283.92%,0.96380,0.00133,-0.33901,0.01672,0.00000,0,30,0.00,Call,7,04/01/22,03/22/22,142.32%,124.38%
GME|20220401|82.00C,GME,82.00,52.99,70.80,269.91%,0.96691,0.00130,-0.29942,0.01553,0.00000,0,7,0.00,Call,7,04/01/22,03/23/22,142.32%,124.38%
GME|20220401|83.00C,GME,83.00,56.22,69.90,271.48%,0.96379,0.00139,-0.32427,0.01672,0.00000,0,19,0.00,Call,7,04/01/22,03/23/22,142.32%,124.38%
GME|20220401|84.00C,GME,84.00,61.50,68.90,266.86%,0.96317,0.00143,-0.32320,0.01696,0.00000,0,12,0.00,Call,7,04/01/22,03/23/22,142.32%,124.38%
GME|20220401|85.00C,GME,85.00,63.36,68.40,288.21%,0.95105,0.00167,-0.43935,0.02134,0.00000,1,46,0.02,Call,7,04/01/22,03/25/22,142.32%,124.38%
GME|20220401|86.00C,GME,86.00,52.00,67.00,263.35%,0.95935,0.00158,-0.34569,0.01838,0.00000,0,7,0.00,Call,7,04/01/22,03/23/22,142.32%,124.38%
GME|20220401|87.00C,GME,87.00,64.59,65.95,256.09%,0.95992,0.00160,-0.33227,0.01817,0.00000,2,13,0.15,Call,7,04/01/22,03/25/22,142.32%,124.38%
