,Student,Quiz 1.8 (12095674),Quiz 1.10/ 2.5 (12095676),Quiz 2.1 (12095681),quiz 2.2 (12095682),quiz 2.3 (12095684),quiz 2.4 (12095685),quiz 2.6 (12095687),quiz 2.7 (12095688),Quiz 2.8 (12129084),Quiz 3.1 (12129085),Quiz 3.2 (12129086),Quiz 3.3 (12129087),Quiz 3.4 (12140597),Quiz 1.6 (12140598),Quiz 3.5 (12140599),Quiz 3.6 (12212372),Quiz 4.1 (12212373),Quiz 4.2 (12212375),Quiz 4.3 (12212378),Quiz 4.4 (12212380),Quiz 4.5 (12212381),Quiz 4.6 (12212382),Test 1 Review  (12095652),Test 2 Review (12140602),Test Review 3 (12212383),Test 1 (12095605),Test 2 (12141137),Test 3  (12214955),Quizes Current Score,Quizes Unposted Current Score,Quizes Final Score,Quizes Unposted Final Score,Test Reviews Current Score,Test Reviews Unposted Current Score,Test Reviews Final Score,Test Reviews Unposted Final Score,Tests Current Score,Tests Unposted Current Score,Tests Final Score,Tests Unposted Final Score,Final  Current Score,Final  Unposted Current Score,Final  Final Score,Final  Unposted Final Score,Current Score,Unposted Current Score,Final Score,Unposted Final Score,Current Grade,Unposted Current Grade,Final Grade,Unposted Final Grade
0,    Points Possible,8.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,8.0,10.0,10.0,4.0,5.0,4.0,4.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,100.0,100.0,89.97,85.0,88.0,85.0,(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only)
1,STUDENT 1,6.0,9.34,10.0,10.0,8.6,10.0,10.0,9.25,8.0,8.25,10.0,4.0,5.0,4.0,3.16,0.0,10.0,5.0,10.0,10.0,7.0,8.32,6.84,96.43,89.97,66.0,63.0,100.0,85.97,85.97,85.97,85.97,66.64,66.64,66.64,66.64,88.76,88.76,88.76,88.76,,,,,85.65,85.65,85.65,85.65,B,B,B,B
2,STUDENT 2,7.0,10.0,8.52,10.0,9.7,10.0,8.0,6.75,8.0,8.25,8.34,4.0,1.25,4.0,3.72,10.0,4.5,10.0,9.33,6.0,9.0,7.5,81.76,89.29,78.39,34.0,46.0,82.35,84.90,84.90,84.90,84.90,86.02,86.02,86.02,86.02,62.93,62.93,62.93,62.93,,,,,68.56,68.56,68.56,68.56,D,D,D,D
3,STUDENT 3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,4.0,5.0,4.0,1.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.70,17.70,17.70,17.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,2.21,2.21,2.21,2.21,F,F,F,F
4,STUDENT 4,8.0,6.0,7.32,8.0,1.8,2.0,7.0,7.25,8.0,5.0,5.36,1.0,0.0,4.0,0.84,10.0,9.0,10.0,10.0,10.0,10.0,8.34,0.0,100.0,89.97,10.0,81.0,81.0,71.97,71.97,71.97,71.97,65.51,65.51,65.51,65.51,66.67,66.67,66.67,66.67,,,,,67.19,67.19,67.19,67.19,D,D,D,D
5,STUDENT 5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0.00,0.00,0.00,0.00,F,F,F,F
6,STUDENT 6,7.0,6.0,10.0,10.0,7.8,7.0,10.0,8.5,8.0,10.0,10.0,2.0,5.0,4.0,3.0,10.0,9.5,10.0,10.0,10.0,10.0,10.0,98.77,100.0,84.17,79.0,88.0,85.0,92.12,92.12,92.12,92.12,97.58,97.58,97.58,97.58,97.67,97.67,97.67,97.67,,,,,96.97,96.97,96.97,96.97,A,A,A,A
7,STUDENT 7,8.0,6.0,8.0,10.0,8.1,6.5,8.0,8.0,8.0,10.0,10.0,4.0,5.0,2.0,3.0,10.0,10.0,10.0,10.0,10.0,9.0,10.0,87.02,92.86,89.97,38.0,73.0,73.0,89.95,89.95,89.95,89.95,93.06,93.06,93.06,93.06,71.32,71.32,71.32,71.32,,,,,76.36,76.36,76.36,76.36,C,C,C,C
8,STUDENT 8,7.0,8.66,8.92,10.0,6.6,10.0,10.0,6.75,8.0,6.75,10.0,4.0,3.75,4.0,3.44,10.0,10.0,10.0,10.0,8.0,8.0,1.66,89.17,91.67,89.97,42.0,82.0,82.0,85.77,85.77,85.77,85.77,93.39,93.39,93.39,93.39,79.84,79.84,79.84,79.84,,,,,82.28,82.28,82.28,82.28,B,B,B,B
9,Student not on WebAssign,1.0,0.0,9.6,7.0,9.4,8.5,10.0,5.25,8.0,7.5,10.0,4.0,0.0,0.0,0.0,8.0,10.0,10.0,9.0,10.0,6.0,10.0,1.58,17.87,89.97,11.0,23.0,23.0,74.22,74.22,74.22,74.22,37.73,37.73,37.73,37.73,22.09,22.09,22.09,22.09,,,,,30.56,30.56,30.56,30.56,F,F,F,F
