Student,Quiz 1.8,"Quiz 1.10,2.5",Quiz 2.1,Quiz 2.2,Quiz 2.3,Quiz 2.4,Quiz 2.6,Quiz 2.7,Quiz 2.8,Quiz 3.1,Quiz 3.2,Quiz 3.3,Quiz 3.4,Quiz 1.6,Quiz 3.5,Quiz 3.6,Quiz 4.1,Quiz 4.2,Quiz 4.3,Quiz 4.4,Quiz 4.5,Quiz 4.6,Quiz 10.1,Quiz 10.2,Quiz 10.8,Quiz 10.9,Quiz 12.1,Test 1 Review,Test 2 Review,Test 3 Review,Test 4 Review,Final Review
Totals,8,10,10,10,10,10,10,10,8,10,10,4,5,4,4,10,10,10,10,10,10,10,10,6.66,6,11,6,100,100,89.97,100,100
Student 1,6,9.34,10,10,8.6,10,10,9.25,8,8.25,10,4,5,4,3.16,0,10,5,10,10,7,8.32,0,0,0,0,0,6.84,96.43,89.97,0,0
Student 2,7,10,8.52,10,9.7,10,8,6.75,8,8.25,8.34,4,1.25,4,3.72,10,4.5,10,9.33,6,9,7.5,0,0,0,0,0,81.76,89.29,78.39,0,0
Student 3,0,0,0,0,0,0,0,0,0,10,10,4,5,4,1.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Student 4,8,6,7.32,8,1.8,2,7,7.25,8,5,5.36,1,0,4,0.84,10,9,10,10,10,10,8.34,0,0,0,0,0,0,100,89.97,0,0
Student 5,7,6,10,10,7.8,7,10,8.5,8,10,10,2,5,4,3,10,9.5,10,10,10,10,10,0,0,0,0,0,98.77,100,84.17,0,0
Student 6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Student 7,7,8.66,8.92,10,6.6,10,10,6.75,8,6.75,10,4,3.75,4,3.44,10,10,10,10,8,8,1.66,0,0,0,0,0,89.17,91.67,89.97,0,0
Student 8,1,0,9.6,7,9.4,8.5,10,5.25,8,7.5,10,4,0,0,0,8,10,10,9,10,6,10,0,0,0,0,0,1.58,17.87,89.97,0,0
Student Not On Webassign,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Student 10,0,8,6,10,8.6,4,4,0,8,4.75,7,4,2.5,4,0,0.68,5.83,0,10,4,4,0,0,0,0,0,0,0,0,45.11,0,0
Student 11,8,2,8.99,10,8.1,7,8,8.5,6,7.25,10,0,2.5,4,0,0,5.5,10,10,10,9,3.32,0,0,0,0,0,93.38,100,74.77,0,0
Student 12,5,8,10,10,8.2,7,10,9.75,8,9.25,10,4,5,4,3,9,5.5,10,10,10,8,5,0,0,0,0,0,37.69,88.1,88.51,0,0
Student 13,4,6.66,10,10,9.7,8,8,6,8,9.25,7.34,4,3.75,4,2.44,9.34,9,10,9.5,6,6,5,0,0,0,0,0,70.98,91.67,83.09,0,0
Student 14,6,10,9.32,10,10,7,8,9.25,8,9.25,10,4,2.5,4,0,0,9.5,10,7,4,10,10,0,0,0,0,0,98.6,92.86,81.39,0,0
Student 15,0,0,7.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Student 16,5,10,10,10,9.4,7,8,8,8,10,9.32,4,5,2,3.68,0,8.66,10,9.5,10,0,0,0,0,0,0,0,96.54,90.48,0,0,0
Student 17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Student 18,0,0,0,0,0,0,0,0,0,5,10,4,5,4,4,0,3,0,0,0,0,0,0,0,0,0,0,0,93.64,0,0,0
Student 19,8,10,10,10,9.7,10,10,10,8,10,10,4,5,4,4,10,10,10,10,10,10,10,0,0,0,0,0,100,100,89.97,0,0
Student 20,4,10,10,10,9.7,10,10,9.75,8,9,10,4,5,4,4,0,10,10,0,0,9,8.32,0,0,0,0,0,19.04,98.81,89.97,0,0
Student 21,3,10,10,10,10,0,0,0,0,0,0,0,1.25,4,0,10,10,5,0,0,0,0,0,0,0,0,0,100,73,0,0,0
Student 22,5,8.66,7.32,10,0,5.5,8,7.25,8,9,9,4,3.75,4,1.16,9,9.5,10,10,10,10,3.32,0,0,0,0,0,47.99,95.24,83.46,0,0
Student 23,7,6,10,10,7.8,6.5,8,8.75,8,8.25,10,2,5,4,2,10,10,10,8,10,10,10,0,0,0,0,0,79.99,94.05,89.97,0,0
Student 24,7,8,7.34,10,9.1,3,8,6,8,8.25,7.36,4,2.5,2,2.44,10,0,0,10,10,10,10,0,0,0,0,0,41.32,100,89.97,0,0
Student 25,8,7.32,10,10,10,10,10,10,8,10,10,4,5,4,3,10,10,10,10,10,10,10,0,0,0,0,0,100,100,89.97,0,0
Student 26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Student 27,8,6,8.8,10,10,10,10,8.25,8,10,10,4,1.25,4,2,0,6,10,10,10,8,10,0,0,0,0,0,45.22,84.53,89.97,0,0
"Student, Test",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
